clip_id,source,threshold,tile_size,activation_rule,halo_tiles,total_tiles,active_tiles,partial_edge_tiles,additional_closure_tiles,pairs_at_or_above_75_percent,pairs_at_or_above_90_percent,full_pressure_pairs,active_tile_ratio,frozen_candidate_ratio,halo_inflation_ratio
c01,raw,2,32,5_percent,1,79560,46272,0,17654,42,24,0,0.5815987933634993,0.4184012066365007,1.6168844783003704
c01,raw,2,32,5_percent,2,79560,55701,0,27083,61,45,10,0.7001131221719457,0.29988687782805434,1.9463624292403383
c01,raw,2,32,10_percent,0,79560,21853,0,0,0,0,0,0.2746732026143791,0.7253267973856209,1.0
c01,raw,2,32,10_percent,1,79560,38618,0,16765,12,5,0,0.48539467068878833,0.5146053293112116,1.7671715553928522
c01,raw,2,32,10_percent,2,79560,48664,0,26811,32,16,2,0.6116641528406235,0.3883358471593765,2.226879604630943
c01,raw,2,64,any,0,21216,18287,2652,0,165,109,43,0.8619438159879337,0.13805618401206632,1.0
c01,raw,2,64,any,1,21216,20975,2652,2688,204,195,170,0.9886406485671192,0.011359351432880804,1.1469896647891946
c01,raw,2,64,any,2,21216,21179,2652,2892,204,203,197,0.9982560331825038,0.001743966817496223,1.1581451304205173
c01,raw,2,64,1_percent,0,21216,12350,2652,0,55,31,2,0.5821078431372549,0.41789215686274506,1.0
c01,raw,2,64,1_percent,1,21216,17072,2652,4722,114,68,53,0.8046757164404224,0.19532428355957765,1.3823481781376519
c01,raw,2,64,1_percent,2,21216,19380,2652,7030,204,117,69,0.9134615384615384,0.08653846153846156,1.5692307692307692
c01,raw,2,64,5_percent,0,21216,8514,2652,0,5,3,0,0.4013009049773756,0.5986990950226244,1.0
c01,raw,2,64,5_percent,1,21216,14377,2652,5863,59,27,5,0.6776489441930619,0.3223510558069381,1.6886304909560723
c01,raw,2,64,5_percent,2,21216,17770,2652,9256,173,54,22,0.8375754147812972,0.16242458521870284,2.0871505755226685
c01,raw,2,64,10_percent,0,21216,6214,2652,0,2,0,0,0.2928921568627451,0.7071078431372548,1.0
c01,raw,2,64,10_percent,1,21216,11824,2652,5610,23,5,2,0.557315233785822,0.44268476621417796,1.9028001287415512
c01,raw,2,64,10_percent,2,21216,15589,2652,9375,114,21,5,0.7347756410256411,0.2652243589743589,2.508690054715159
c01,raw,4,8,any,0,1272960,252524,0,0,0,0,0,0.19837543991955756,0.8016245600804425,1.0
c01,raw,4,8,any,1,1272960,408632,0,156108,0,0,0,0.32100930115636,0.67899069884364,1.6181907462261014
c01,raw,4,8,any,2,1272960,495186,0,242662,0,0,0,0.3890035822021116,0.6109964177978884,1.96094628629358
c01,raw,4,8,1_percent,0,1272960,252524,0,0,0,0,0,0.19837543991955756,0.8016245600804425,1.0
c01,raw,4,8,1_percent,1,1272960,408632,0,156108,0,0,0,0.32100930115636,0.67899069884364,1.6181907462261014
c01,raw,4,8,1_percent,2,1272960,495186,0,242662,0,0,0,0.3890035822021116,0.6109964177978884,1.96094628629358
c01,raw,4,8,5_percent,0,1272960,184747,0,0,0,0,0,0.1451318187531423,0.8548681812468577,1.0
c01,raw,4,8,5_percent,1,1272960,323578,0,138831,0,0,0,0.25419337606837605,0.7458066239316239,1.7514655177080007
c01,raw,4,8,5_percent,2,1272960,415871,0,231124,0,0,0,0.326696047008547,0.6733039529914531,2.251029786681245
c01,raw,4,8,10_percent,0,1272960,158755,0,0,0,0,0,0.12471326671694319,0.8752867332830568,1.0
c01,raw,4,8,10_percent,1,1272960,289695,0,130940,0,0,0,0.22757588612368024,0.7724241138763197,1.8247929199080344
c01,raw,4,8,10_percent,2,1272960,381687,0,222932,0,0,0,0.29984210030165914,0.7001578996983409,2.404251834587887
c01,raw,4,16,any,0,318240,86822,0,0,0,0,0,0.2728192559074912,0.7271807440925089,1.0
c01,raw,4,16,any,1,318240,132500,0,45678,0,0,0,0.41635243841126196,0.583647561588738,1.5261108935523255
c01,raw,4,16,any,2,318240,159359,0,72537,2,1,0,0.5007510055304173,0.4992489944695827,1.8354679689479625
c01,raw,4,16,1_percent,0,318240,73957,0,0,0,0,0,0.2323937908496732,0.7676062091503268,1.0
c01,raw,4,16,1_percent,1,318240,120175,0,46218,0,0,0,0.37762380593262945,0.6223761940673705,1.6249307029760536
c01,raw,4,16,1_percent,2,318240,147802,0,73845,0,0,0,0.4644356460532931,0.5355643539467069,1.998485606501075
c01,raw,4,16,5_percent,0,318240,55720,0,0,0,0,0,0.1750879839115133,0.8249120160884866,1.0
c01,raw,4,16,5_percent,1,318240,102712,0,46992,0,0,0,0.3227501256913022,0.6772498743086979,1.843359655419957
c01,raw,4,16,5_percent,2,318240,134192,0,78472,0,0,0,0.4216691804927099,0.57833081950729,2.408327351040919
c01,raw,4,16,10_percent,0,318240,45363,0,0,0,0,0,0.14254336349924585,0.8574566365007541,1.0
c01,raw,4,16,10_percent,1,318240,89709,0,44346,0,0,0,0.28189102564102564,0.7181089743589744,1.9775808478275245
c01,raw,4,16,10_percent,2,318240,122424,0,77061,0,0,0,0.38469079939668177,0.6153092006033183,2.6987633093049403
c01,raw,4,32,any,0,79560,28348,0,0,0,0,0,0.3563097033685269,0.643690296631473,1.0
c01,raw,4,32,any,1,79560,42491,0,14143,6,2,0,0.5340749120160885,0.4659250879839115,1.4989064484266967
c01,raw,4,32,any,2,79560,52757,0,24409,30,6,0,0.6631096028154851,0.33689039718451486,1.861048398476083
c01,raw,4,32,1_percent,0,79560,22627,0,0,0,0,0,0.2844017094017094,0.7155982905982906,1.0
c01,raw,4,32,1_percent,1,79560,37795,0,15168,0,0,0,0.47505027652086473,0.5249497234791353,1.6703495823573606
c01,raw,4,32,1_percent,2,79560,47219,0,24592,4,0,0,0.5935017596782303,0.40649824032176973,2.0868431519865647
c01,raw,4,32,5_percent,0,79560,16589,0,0,0,0,0,0.20850930115636,0.79149069884364,1.0
c01,raw,4,32,5_percent,1,79560,33017,0,16428,0,0,0,0.41499497234791355,0.5850050276520864,1.9902947736451866
c01,raw,4,32,5_percent,2,79560,43529,0,26940,0,0,0,0.5471216691804928,0.45287833081950724,2.6239676894327566
c01,raw,4,32,10_percent,0,79560,12504,0,0,0,0,0,0.15716440422322775,0.8428355957767723,1.0
c01,raw,4,32,10_percent,1,79560,26543,0,14039,0,0,0,0.33362242332830566,0.6663775766716944,2.1227607165706974
c01,raw,4,32,10_percent,2,79560,36594,0,24090,0,0,0,0.4599547511312217,0.5400452488687784,2.9265834932821497
c01,raw,4,64,any,0,21216,9880,2652,0,2,0,0,0.46568627450980393,0.5343137254901961,1.0
c01,raw,4,64,any,1,21216,15584,2652,5704,87,12,3,0.7345399698340875,0.26546003016591246,1.5773279352226721
c01,raw,4,64,any,2,21216,18708,2652,8828,204,86,12,0.8817873303167421,0.11821266968325794,1.8935222672064778
c01,raw,4,64,1_percent,0,21216,7661,2652,0,0,0,0,0.36109539969834087,0.6389046003016592,1.0
c01,raw,4,64,1_percent,1,21216,13382,2652,5721,14,0,0,0.6307503770739065,0.36924962292609353,1.7467693512596267
